                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8435,                 1.4379,                0.85167,                0.63293,                0.45211,                0.54114,                0.22044,                 1.8019,                 1.0137,                0.81644,             0.00065778,             0.00065778,             0.00065778
                      1,                 1.6557,                0.73005,                0.81169,                 0.6061,                0.53418,                0.58509,                0.22308,                 1.8541,                 1.0524,                0.80731,              0.0012807,              0.0012807,              0.0012807
                      2,                 1.6163,                0.70802,                0.80576,                0.52099,                0.51775,                0.54043,                0.20738,                 1.9514,                 1.2918,                0.81851,              0.0018597,              0.0018597,              0.0018597
                      3,                 1.5781,                0.67363,                0.80517,                0.62999,                0.49867,                0.59156,                 0.2421,                 1.7454,                 1.0057,                0.80077,               0.001802,               0.001802,               0.001802
                      4,                 1.5401,                0.65876,                 0.8001,                0.65254,                0.54282,                0.62588,                0.27217,                 1.6578,                0.93902,                0.79858,               0.001802,               0.001802,               0.001802
                      5,                 1.5486,                 0.6617,                 0.8002,                0.60614,                0.51822,                0.58674,                0.25125,                 1.7318,                 1.0335,                0.80525,               0.001736,               0.001736,               0.001736
                      6,                 1.5271,                0.64672,                0.80282,                0.60205,                0.51863,                0.58918,                0.24625,                 1.7019,                0.97441,                0.79946,                0.00167,                0.00167,                0.00167
                      7,                 1.5547,                0.65316,                0.80011,                0.62058,                0.56709,                 0.6206,                0.27315,                 1.6074,                0.90011,                0.79506,               0.001604,               0.001604,               0.001604
                      8,                 1.4973,                0.64161,                0.80119,                0.59121,                0.50555,                0.58404,                0.23258,                 1.7295,                 1.0159,                0.80162,               0.001538,               0.001538,               0.001538
                      9,                  1.455,                0.62214,                0.80036,                0.64041,                0.54814,                0.61726,                0.24957,                 1.8413,                   1.05,                 0.8105,               0.001472,               0.001472,               0.001472
                     10,                 1.4818,                0.63043,                0.79777,                0.66875,                 0.5417,                 0.6097,                0.25377,                 1.7224,                 1.0025,                0.80243,               0.001406,               0.001406,               0.001406
                     11,                 1.4683,                0.61786,                0.79731,                0.65029,                 0.5122,                 0.5876,                0.22819,                 1.8248,                 1.0703,                0.80594,                0.00134,                0.00134,                0.00134
                     12,                 1.4455,                0.61299,                 0.7985,                0.53679,                0.57298,                0.59591,                0.23823,                  1.721,                0.99466,                0.80648,               0.001274,               0.001274,               0.001274
                     13,                 1.4425,                0.61879,                0.79465,                 0.6774,                0.55901,                0.62605,                0.26086,                 1.7208,                0.93877,                0.80426,               0.001208,               0.001208,               0.001208
                     14,                 1.4193,                0.59872,                0.79446,                0.69187,                0.53145,                0.61991,                0.25644,                 1.7716,                 1.0876,                0.80599,               0.001142,               0.001142,               0.001142
                     15,                 1.4033,                0.59399,                0.79655,                0.63296,                  0.561,                0.59303,                0.24559,                 1.7688,                 1.0781,                0.80922,               0.001076,               0.001076,               0.001076
                     16,                 1.4253,                0.60444,                0.79268,                0.64703,                0.53217,                0.59297,                0.22976,                 1.7311,                 1.1418,                0.80163,                0.00101,                0.00101,                0.00101
                     17,                 1.3996,                0.58586,                0.79467,                0.57928,                0.58807,                0.62174,                0.27266,                 1.6857,                0.97312,                0.79794,               0.000944,               0.000944,               0.000944
                     18,                 1.3913,                0.58898,                0.79562,                0.75097,                0.55701,                0.66535,                 0.2882,                 1.6872,                 0.9061,                0.80087,               0.000878,               0.000878,               0.000878
                     19,                 1.4184,                0.59659,                0.79515,                0.64276,                0.59583,                0.63966,                0.26353,                 1.7625,                0.89323,                0.80116,               0.000812,               0.000812,               0.000812
                     20,                 1.3749,                0.57877,                0.79138,                0.69686,                 0.5732,                0.64537,                0.27528,                 1.6721,                0.89438,                0.79859,               0.000746,               0.000746,               0.000746
                     21,                 1.3688,                0.57678,                0.78967,                0.66448,                0.57875,                0.61492,                0.26891,                 1.6557,                 1.0036,                0.79931,                0.00068,                0.00068,                0.00068
                     22,                 1.3642,                 0.5718,                 0.7899,                0.68379,                0.58378,                0.64704,                0.27796,                 1.6809,                0.90875,                0.80018,               0.000614,               0.000614,               0.000614
                     23,                 1.3626,                0.57398,                0.78966,                0.73434,                0.58274,                0.65158,                0.28632,                 1.6576,                0.92708,                0.80021,               0.000548,               0.000548,               0.000548
                     24,                 1.3444,                0.56761,                0.78873,                0.69476,                0.58363,                 0.6397,                0.27917,                 1.6788,                0.91492,                0.80037,               0.000482,               0.000482,               0.000482
                     25,                 1.3345,                0.56062,                0.78733,                0.75326,                0.57609,                0.66863,                0.28793,                 1.6821,                0.86942,                0.79832,               0.000416,               0.000416,               0.000416
                     26,                 1.3286,                0.55877,                0.78915,                0.76282,                0.55102,                0.65952,                0.29072,                 1.6514,                0.90289,                0.79841,                0.00035,                0.00035,                0.00035
                     27,                 1.3415,                0.56217,                0.78907,                0.72492,                0.55169,                0.64599,                0.28542,                 1.6727,                0.97753,                0.80092,               0.000284,               0.000284,               0.000284
                     28,                 1.3199,                0.55194,                0.78991,                 0.6998,                0.57742,                0.65682,                0.29622,                 1.6517,                0.91531,                0.79844,               0.000218,               0.000218,               0.000218
                     29,                 1.2911,                0.54084,                0.79089,                0.70363,                0.56456,                0.64666,                0.28222,                 1.6845,                0.89882,                0.80115,               0.000152,               0.000152,               0.000152
