                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1574,                  3.357,                 1.1524,                0.58947,                0.48556,                0.51985,                0.28338,                 1.6323,                 2.1722,                 1.0121,                0.00028,                0.00028,                0.00028
                      1,                 1.8677,                 1.3725,                 1.0302,                0.12469,                0.68198,                0.11636,                0.06175,                 1.5737,                 11.369,                0.98302,             0.00057426,             0.00057426,             0.00057426
                      2,                 1.8057,                 1.2027,                  1.008,                0.73279,                0.80676,                 0.7587,                0.36975,                 1.6466,                 1.5399,                 1.0018,             0.00086258,             0.00086258,             0.00086258
                      3,                 1.7968,                 1.1431,                 1.0003,                0.84226,                0.90821,                0.91206,                0.44008,                 1.7434,                 1.1783,                 1.0428,               0.001145,               0.001145,               0.001145
                      4,                 1.8491,                 1.1896,                 1.0037,                0.82861,                0.84058,                0.87592,                0.44493,                 1.6237,                0.98563,                 0.9932,              0.0014214,              0.0014214,              0.0014214
                      5,                 1.7314,                  1.089,                0.98595,                0.78123,                0.77631,                0.81711,                0.41788,                 1.5817,                 1.0141,                0.98532,              0.0016919,              0.0016919,              0.0016919
                      6,                 1.7691,                 1.0578,                0.98495,                0.81662,                 0.6715,                 0.7232,                0.33256,                 1.7919,                 1.1842,                 1.0117,              0.0018812,              0.0018812,              0.0018812
                      7,                 1.7839,                 1.0749,                0.99384,                0.79291,                0.85024,                0.82643,                0.40761,                 1.6513,                  1.013,                0.98677,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7784,                  1.136,                0.98284,                0.75705,                0.82609,                0.81117,                0.37036,                 1.6905,                 1.0996,                 0.9986,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7324,                 1.1207,                0.96739,                 0.6083,                0.68599,                0.63628,                0.32457,                 1.6525,                 1.4734,                0.98138,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7369,                 1.0538,                0.98336,                0.84676,                0.82752,                0.87758,                0.47128,                 1.5463,                0.96151,                0.96752,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.739,                 1.0462,                0.98173,                0.80872,                0.91787,                0.92036,                0.46433,                 1.5801,                0.95936,                  0.968,               0.001802,               0.001802,               0.001802
                     12,                 1.6797,                 1.0241,                0.95724,                0.88971,                0.85739,                0.92962,                0.47351,                 1.6358,                0.89755,                 0.9867,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7798,                 1.0998,                0.99643,                0.83941,                0.88379,                0.90904,                0.45946,                 1.6414,                0.83376,                0.98639,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.681,                 1.0232,                0.96299,                0.87888,                0.83575,                0.90772,                0.45712,                 1.6308,                0.86831,                0.97662,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6586,                 1.0136,                0.96506,                0.89171,                0.87923,                0.94243,                0.49854,                 1.5687,                0.81305,                0.95928,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6691,                0.97689,                0.95442,                 0.8931,                0.87923,                0.92884,                0.49077,                 1.5629,                0.82002,                0.96747,               0.001703,               0.001703,               0.001703
                     17,                 1.6131,                0.94842,                0.95331,                0.85571,                0.91683,                0.94198,                0.49803,                 1.5823,                0.81189,                0.96336,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5888,                0.96156,                0.95808,                0.89484,                0.89372,                0.93862,                 0.5128,                 1.5443,                0.76144,                0.95385,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5892,                0.96292,                0.94506,                0.87823,                0.90592,                0.95048,                0.50691,                 1.5452,                0.74368,                0.94743,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6222,                0.96023,                  0.948,                0.88388,                 0.9193,                0.94468,                 0.4694,                 1.6711,                0.83098,                0.97948,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6668,                0.97067,                 0.9534,                0.90872,                0.86572,                0.91765,                0.49326,                 1.5511,                0.80678,                0.96392,               0.001604,               0.001604,               0.001604
                     22,                 1.5893,                0.94526,                0.94542,                0.88664,                0.90685,                0.93766,                0.50719,                 1.5112,                0.80372,                0.94632,              0.0015842,              0.0015842,              0.0015842
