                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87145,                0.62162,                0.89183,                0.98868,                0.96838,                0.99042,                0.88882,                0.50956,                0.40276,                0.80692,             0.00066433,             0.00066433,             0.00066433
                      1,                0.76016,                0.42983,                0.85167,                0.99336,                0.96737,                 0.9851,                 0.8831,                0.52814,                0.38384,                0.80751,              0.0012871,              0.0012871,              0.0012871
                      2,                0.76591,                 0.4344,                0.85662,                0.97701,                0.97229,                0.99089,                 0.8772,                0.54186,                0.43396,                0.81089,              0.0018658,              0.0018658,              0.0018658
                      3,                0.75707,                0.42521,                0.85524,                0.97067,                0.97537,                0.99199,                0.89587,                0.51272,                0.41794,                0.80849,               0.001802,               0.001802,               0.001802
                      4,                0.75547,                0.42033,                0.85662,                0.98897,                0.96651,                0.98721,                 0.8915,                0.51569,                 0.3948,                0.80624,               0.001802,               0.001802,               0.001802
                      5,                0.76451,                0.41604,                 0.8548,                0.96757,                0.98091,                0.98872,                0.88226,                0.51262,                0.40354,                0.80794,               0.001736,               0.001736,               0.001736
                      6,                0.73976,                0.40684,                0.85094,                0.97214,                0.97167,                0.98661,                0.89924,                0.48532,                0.40549,                0.80019,                0.00167,                0.00167,                0.00167
                      7,                0.74064,                0.40398,                 0.8515,                0.97545,                0.96638,                 0.9896,                0.88848,                0.50674,                 0.3949,                0.80155,               0.001604,               0.001604,               0.001604
                      8,                0.73326,                0.39835,                0.84974,                0.97605,                0.97722,                0.99143,                0.89173,                0.50158,                0.39831,                0.80454,               0.001538,               0.001538,               0.001538
                      9,                0.72936,                0.39203,                0.84973,                0.97333,                0.97075,                0.98989,                0.90025,                0.48296,                0.39862,                0.80046,               0.001472,               0.001472,               0.001472
                     10,                0.71748,                0.38591,                0.84812,                0.97282,                0.96275,                0.98457,                 0.8978,                0.46641,                0.40018,                0.79578,               0.001406,               0.001406,               0.001406
                     11,                0.72443,                0.38895,                 0.8479,                0.98596,                0.96829,                0.98818,                0.90639,                0.46995,                0.37054,                0.79751,                0.00134,                0.00134,                0.00134
                     12,                0.70741,                0.37831,                 0.8453,                0.98379,                0.97229,                 0.9919,                0.90319,                0.47072,                0.35589,                0.79695,               0.001274,               0.001274,               0.001274
                     13,                0.70433,                0.37555,                0.84629,                 0.9829,                0.97337,                0.98664,                0.90475,                0.46332,                0.36198,                0.79485,               0.001208,               0.001208,               0.001208
                     14,                 0.7006,                 0.3692,                 0.8449,                0.98129,                0.96893,                0.98857,                0.90354,                0.47419,                0.37176,                 0.7947,               0.001142,               0.001142,               0.001142
                     15,                0.69763,                 0.3682,                0.84439,                0.99319,                0.96952,                0.98795,                0.90938,                0.47137,                0.35373,                0.79682,               0.001076,               0.001076,               0.001076
                     16,                0.68917,                0.36317,                0.84211,                0.98313,                0.96916,                0.98542,                0.89819,                0.46988,                0.39773,                 0.7949,                0.00101,                0.00101,                0.00101
                     17,                0.68418,                 0.3594,                0.84119,                0.98256,                0.97129,                0.99185,                0.90978,                0.46667,                0.34175,                0.79518,               0.000944,               0.000944,               0.000944
                     18,                0.68216,                0.35756,                0.84056,                0.97898,                0.97503,                0.99257,                0.90908,                0.45891,                0.35803,                0.79389,               0.000878,               0.000878,               0.000878
                     19,                0.67971,                0.35532,                0.84096,                0.99524,                 0.9658,                0.98514,                 0.8991,                0.46752,                0.38399,                0.79545,               0.000812,               0.000812,               0.000812
                     20,                0.67119,                0.34852,                0.83821,                0.97656,                0.97482,                0.98966,                0.90809,                0.45535,                0.36226,                 0.7928,               0.000746,               0.000746,               0.000746
                     21,                 0.6706,                0.34569,                0.83717,                0.97799,                0.97198,                0.99114,                0.91106,                0.45305,                0.34745,                0.79112,                0.00068,                0.00068,                0.00068
                     22,                0.66019,                0.34146,                0.83765,                0.98071,                0.97352,                0.98905,                0.91513,                0.44662,                0.34586,                0.78985,               0.000614,               0.000614,               0.000614
                     23,                0.65959,                0.33857,                0.83512,                0.98201,                0.97352,                 0.9911,                0.91428,                0.44544,                0.36039,                0.78929,               0.000548,               0.000548,               0.000548
                     24,                0.65359,                0.33572,                0.83426,                0.97759,                0.97445,                0.99175,                0.91545,                0.44507,                0.33579,                0.78989,               0.000482,               0.000482,               0.000482
                     25,                0.64761,                0.33045,                0.83294,                0.98196,                0.97194,                0.99022,                0.91055,                0.44867,                0.33903,                0.78891,               0.000416,               0.000416,               0.000416
                     26,                0.63789,                0.32556,                 0.8294,                0.97994,                0.97754,                0.99104,                0.91942,                0.43906,                0.32635,                0.78649,                0.00035,                0.00035,                0.00035
                     27,                0.63877,                0.32257,                0.83139,                0.98054,                0.97445,                 0.9916,                0.92035,                0.43526,                0.32905,                0.78611,               0.000284,               0.000284,               0.000284
                     28,                0.63245,                0.31823,                0.82993,                0.98135,                0.97207,                0.98984,                  0.918,                0.44672,                0.33341,                0.78708,               0.000218,               0.000218,               0.000218
                     29,                0.62831,                0.31387,                0.83069,                0.97491,                0.98079,                0.99159,                0.91979,                0.43339,                 0.3197,                0.78563,               0.000152,               0.000152,               0.000152
